date,year,location,work,concert_composers,instrument,performers
1961-06-05,1961,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Anton von Webern;Robert Schumann;Johannes Brahms;,violin,Herbert von Karajan;David Oistrach;
1961-08-27,1961,"Large Festival Hall, Salzburg, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Zoltán Kodály;Ludwig van Beethoven;Johannes Brahms;,violin,Ferenc Fricsay;Pierre Fournier;Géza Anda;Wolfgang Schneiderhan;
1962-06-17,1962,"Theater an der Wien, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Anton von Webern;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Zubin Mehta;Nathan Milstein;
1962-08-26,1962,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Leoš Janáček;Ludwig van Beethoven;Johannes Brahms;,violin,Sir Georg Solti;Zino Francescatti;
1962-09-03,1962,"Kunsthaus Luzern, ","Concerto for Violin and Violoncello in A Minor, op. 102",Paul Hindemith;Johannes Brahms;Ludwig van Beethoven;,violin,Istvan Kertész;Wolfgang Schneiderhan;Janos Starker;
1962-09-08,1962,"Kunsthaus Luzern, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Joseph Haydn;Wolfgang Amadeus Mozart;Johannes Brahms;,violin,Carl Schuricht;Erica Morini;
1963-01-25,1963,"Theater an der Wien, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Unbekannt;Josef Weinheber;Wolfgang Amadeus Mozart;Joseph Marx;Franz Jonas;Heinrich Drimmel;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Paul Klecki;Irmgard Seefried;Oskar Werner;Wolfgang Schneiderhan;None;
1963-06-02,1963,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;,violin,Herbert von Karajan;Pierre Fournier;Zino Francescatti;
1963-06-03,1963,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;,violin,Herbert von Karajan;Zino Francescatti;Pierre Fournier;
1963-06-04,1963,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;,violin,Herbert von Karajan;Zino Francescatti;Pierre Fournier;
1963-08-02,1963,"Large Festival Hall, Salzburg, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Anton Bruckner;,violin,Zubin Mehta;Nathan Milstein;
1963-09-07,1963,"Odeon of Herodes Atticus, Athens, Greece","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;,violin,Herbert von Karajan;Pierre Fournier;Christian Ferras;
1964-10-03,1964,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Jean Sibelius;,violin,Lorin Maazel;Lorin Maazel;Werner Tripp;Hans Reznicek;
1964-10-04,1964,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Jean Sibelius;,violin,Lorin Maazel;Lorin Maazel;Werner Tripp;Hans Reznicek;
1964-10-06,1964,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Jean Sibelius;,violin,Lorin Maazel;Hans Reznicek;Werner Tripp;Lorin Maazel;
1965-01-25,1965,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Carl Schuricht;Willi Boskovsky;
1965-01-29,1965,"Diesterweghalle, ","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Bernhard Paumgartner;Willi Boskovsky;
1966-08-17,1966,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Sergej Prokofieff;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Ludwig van Beethoven;,violin,Claudio Abbado;Leonid Kogan;
1966-11-20,1966,"Stadthalle Wien, ","Concerto for Violin in E minor, op. 64",Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;Ludwig van Beethoven;,violin,Carl Melles;Josef Sivo;
1967-08-09,1967,"Small Festival Hall, ","Concerto for Violin in D Major, op. 77",Paul Hindemith;Johannes Brahms;Felix Mendelssohn-Bartholdy;,violin,Claudio Abbado;Henryk Szeryng;
1968-08-28,1968,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Lorin Maazel;Josef Sivo;
1969-12-18,1969,"Diesterweghalle, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Johannes Brahms;,violin,Eugene Ormandy;Henryk Szeryng;
1969-12-19,1969,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Johannes Brahms;,violin,Eugene Ormandy;Henryk Szeryng;
1969-12-20,1969,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Johannes Brahms;,violin,Eugene Ormandy;Henryk Szeryng;
1969-12-21,1969,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Johannes Brahms;,violin,Eugene Ormandy;Henryk Szeryng;
1970-01-27,1970,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Bernhard Paumgartner;Josef Sivo;
1970-01-28,1970,"Theater Am Kornmarkt, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Horst Stein;Josef Sivo;
1970-08-16,1970,"Small Festival Hall, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Gerhard Tittel;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Kurt Masur;Josef Wallnig;Young Uck Kim;
1971-01-27,1971,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Bernhard Paumgartner;David Oistrach;
1971-08-18,1971,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Carl Maria von Weber;Jean Sibelius;Sergej Prokofieff;,violin,Juri Temirkanow;Boris Gutnikow;
1972-01-26,1972,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Leopold Hager;Arthur Grumiaux;
1972-06-03,1972,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 2 in H-Dur, BB 117",Béla Bartók;Anton Bruckner;,violin,Horst Stein;Gerhart Hetzel;
1972-06-04,1972,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 2 in H-Dur, BB 117",Béla Bartók;Anton Bruckner;,violin,Horst Stein;Gerhart Hetzel;
1972-06-11,1972,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Anton Bruckner;,violin,Claudio Abbado;David Oistrach;
1972-07-27,1972,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Istvan Kertész;Josef Sivo;
1972-08-20,1972,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Gustav Mahler;,violin,Claudio Abbado;Itzhak Perlman;
1972-08-23,1972,"Large Festival Hall, Salzburg, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Peter Iljitsch Tschaikowsky;,violin,David Oistrach;David Oistrach;
1973-02-18,1973,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Benjamin Britten;Wolfgang Amadeus Mozart;Frank Martin;Theodor Berger;Béla Bartók;,violin,Wolfgang Schneiderhan;Wolfgang Schneiderhan;Johann Sonnleitner;Hubert Jelinek;Rudolf Buchbinder;
1973-08-04,1973,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Wolfgang Schneiderhan;Wolfgang Schneiderhan;
1974-03-17,1974,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Theodor Guschlbauer;Rainer Küchl;
1974-08-03,1974,"Small Festival Hall, ","Konzert für Violine in D-Dur, op. 35",Igor Strawinsky;Peter Iljitsch Tschaikowsky;Ludwig van Beethoven;,violin,Dmitrij Kitaenko;Viktor Tretjakow;
1975-01-11,1975,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Robert Schumann;Alban Berg;Richard Wagner;Robert Schumann;,violin,Bernard Haitink;Henryk Szeryng;
1975-01-12,1975,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Robert Schumann;Alban Berg;Richard Wagner;Robert Schumann;,violin,Bernard Haitink;Henryk Szeryng;
1975-02-23,1975,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Antonio Vivaldi;Johannes Brahms;Johannes Brahms;,violin,Riccardo Muti;Rainer Küchl;Robert Scheiwein;
1975-03-29,1975,"Festival Hall, Osaka, Japan","Concerto for Violin and Violoncello in A Minor, op. 102",Ludwig van Beethoven;Johannes Brahms;Antonín Dvořák;Giuseppe Verdi;,violin,Riccardo Muti;Rainer Küchl;Robert Scheiwein;
1975-04-03,1975,"NHK Hall, ","Concerto for Violin and Violoncello in A Minor, op. 102",Ludwig van Beethoven;Johannes Brahms;Antonín Dvořák;Giuseppe Verdi;,violin,Riccardo Muti;Robert Scheiwein;Rainer Küchl;
1975-09-09,1975,"Opera Ghent, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;,violin,Claudio Abbado;Henryk Szeryng;
1975-10-03,1975,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Claudio Abbado;Alfred Prinz;None;Rainer Küchl;
1975-10-03,1975,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 1] in B-Dur, KV 207",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Claudio Abbado;Alfred Prinz;None;Rainer Küchl;
1976-01-25,1976,"Theater Am Kornmarkt, ","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Franz Schubert;,violin,Theodor Guschlbauer;Gidon Kremer;
1976-01-28,1976,"Mozarteum, Salzburg, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Theodor Guschlbauer;Gidon Kremer;
1976-10-02,1976,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Franz Schubert;Richard Strauss;,violin,Horst Stein;Robert Scheiwein;Rainer Küchl;
1976-10-03,1976,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Franz Schubert;Richard Strauss;,violin,Horst Stein;Rainer Küchl;Robert Scheiwein;
1977-08-11,1977,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello in h-Moll, op. 104",Antonín Dvořák;Robert Schumann;,cello,Gerd Albrecht;Leonard Rose;
1978-02-24,1978,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Béla Bartók;,violin,Hiroyuki Iwaki;Gidon Kremer;
1978-02-25,1978,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Béla Bartók;,violin,Hiroyuki Iwaki;Gidon Kremer;
1978-02-26,1978,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Béla Bartók;,violin,Hiroyuki Iwaki;Gidon Kremer;
1978-12-16,1978,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Antonín Dvořák;Gustav Mahler;,cello,Christof Prick;Natalie Gutman;
1978-12-17,1978,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Antonín Dvořák;Gustav Mahler;,cello,Christof Prick;Natalie Gutman;
1980-08-24,1980,"Large Festival Hall, Salzburg, Austria","Konzert für Violine in d-Moll, WoO. 1",Robert Schumann;Robert Schumann;Robert Schumann;,violin,Riccardo Muti;Gidon Kremer;
1981-08-16,1981,"Large Festival Hall, Salzburg, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Antonín Dvořák;,violin,Herbert von Karajan;Anne-Sophie Mutter;
1982-03-27,1982,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Johannes Brahms;,violin,Erich Leinsdorf;Gerhart Hetzel;
1982-03-28,1982,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Johannes Brahms;,violin,Erich Leinsdorf;Gerhart Hetzel;
1982-06-12,1982,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,James Levine;Itzhak Perlman;
1982-06-13,1982,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,James Levine;Itzhak Perlman;
1982-06-14,1982,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,James Levine;Itzhak Perlman;
1982-08-11,1982,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello in C-Dur, Hob. VIIb:1",Joseph Haydn;Peter Iljitsch Tschaikowsky;,cello,Seiji Ozawa;Yo Yo Ma;
1982-09-04,1982,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;,violin,Leonard Bernstein;Gidon Kremer;Mischa Maisky;
1982-09-05,1982,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;,violin,Leonard Bernstein;Mischa Maisky;Gidon Kremer;
1982-09-08,1982,"Deutsches Museum, ","Concerto for Violin and Violoncello in A Minor, op. 102",Wolfgang Amadeus Mozart;Johannes Brahms;Johannes Brahms;,violin,Leonard Bernstein;Mischa Maisky;Gidon Kremer;
1982-09-18,1982,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;,violin,Leonard Bernstein;Gidon Kremer;
1982-09-19,1982,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;,violin,Leonard Bernstein;Gidon Kremer;
1982-11-27,1982,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Richard Wagner;Johannes Brahms;Friedrich Leitermeyer;Zoltán Kodály;,violin,Janos Ferencsik;Gerhart Hetzel;
1982-11-28,1982,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Richard Wagner;Johannes Brahms;Friedrich Leitermeyer;Zoltán Kodály;,violin,Janos Ferencsik;Gerhart Hetzel;
1983-01-28,1983,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Lorin Maazel;Frank Peter Zimmermann;
1983-03-09,1983,"Kulturpalast Ljudmila Schivkova, ","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;,violin,Herbert von Karajan;Anne-Sophie Mutter;
1983-09-12,1983,"Zelt, Bonn, Germany","Konzert für Violine Nr. 2 in H-Dur, BB 117",Béla Bartók;Ludwig van Beethoven;,violin,Lorin Maazel;Lorin Maazel;
1983-09-13,1983,"Zelt, Bonn, Germany","Konzert für Violine Nr. 2 in H-Dur, BB 117",Béla Bartók;Ludwig van Beethoven;,violin,Lorin Maazel;Lorin Maazel;
1983-12-10,1983,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Johann Christian Bach;Leoš Janáček;Ludwig van Beethoven;,violin,Christoph von Dohnányi;Martin Haselböck;Henryk Szeryng;
1983-12-11,1983,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Johann Christian Bach;Leoš Janáček;Ludwig van Beethoven;,violin,Christoph von Dohnányi;Martin Haselböck;Henryk Szeryng;
1984-01-28,1984,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Leonard Bernstein;Wladimir Spivakov;
1984-08-19,1984,"Large Festival Hall, Salzburg, Austria","Konzert für Violine Nr. 2 in H-Dur, BB 117",Béla Bartók;Ludwig van Beethoven;,violin,Lorin Maazel;Gerhart Hetzel;
1984-12-08,1984,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Franz Schubert;,violin,Nikolaus Harnoncourt;Gidon Kremer;
1984-12-09,1984,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Franz Schubert;,violin,Nikolaus Harnoncourt;Gidon Kremer;
1985-08-11,1985,"Large Festival Hall, Salzburg, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Hector Berlioz;Alban Berg;Robert Schumann;,violin,James Levine;Christian Altenburger;
1985-11-02,1985,"Musikverein, Vienna, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Robert Schumann;Robert Schumann;Robert Schumann;,cello,Leonard Bernstein;Mischa Maisky;
1985-11-03,1985,"Musikverein, Vienna, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Robert Schumann;Robert Schumann;Robert Schumann;,cello,Leonard Bernstein;Mischa Maisky;
1985-11-05,1985,"Musikverein, Vienna, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Robert Schumann;Robert Schumann;Robert Schumann;,cello,Leonard Bernstein;Mischa Maisky;
1985-11-06,1985,"Musikverein, Vienna, Austria","Konzert für Violoncello und Orchester in a-Moll, op. 129",Robert Schumann;Robert Schumann;Robert Schumann;,cello,Leonard Bernstein;Mischa Maisky;
1985-11-30,1985,"Musikverein, Vienna, Austria",Chamber Concerto for Piano and Violin with 13 Wind Instruments,Alban Berg;Antonín Dvořák;,violin,Christoph von Dohnányi;Gerhart Hetzel;Walter Klien;
1985-12-01,1985,"Musikverein, Vienna, Austria",Chamber Concerto for Piano and Violin with 13 Wind Instruments,Alban Berg;Antonín Dvořák;,violin,Christoph von Dohnányi;Gerhart Hetzel;Walter Klien;
1987-11-25,1987,"Brucknerhaus, Linz, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Sergej Prokofieff;Jean Sibelius;Richard Strauss;,violin,André Previn;Hans Fuchsberger;Rainer Küchl;
1987-11-28,1987,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Sergej Prokofieff;Jean Sibelius;Richard Strauss;,violin,André Previn;Rainer Küchl;Hans Fuchsberger;
1987-11-29,1987,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Sergej Prokofieff;Jean Sibelius;Richard Strauss;,violin,André Previn;Hans Fuchsberger;Rainer Küchl;
1988-08-15,1988,"Large Festival Hall, Salzburg, Austria","Konzert für Violine in D-Dur, op. 35",Peter Iljitsch Tschaikowsky;Robert Schumann;,violin,Herbert von Karajan;Anne-Sophie Mutter;
1988-10-21,1988,"Brucknerhaus, Linz, Austria","Konzert für Violoncello Nr.1 in Es-Dur, op. 107",Luciano Berio;Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;,cello,Christoph von Dohnányi;Heinrich Schiff;
1988-10-22,1988,"Musikverein, Vienna, Austria","Konzert für Violoncello Nr.1 in Es-Dur, op. 107",Luciano Berio;Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;,cello,Christoph von Dohnányi;Heinrich Schiff;
1988-10-23,1988,"Musikverein, Vienna, Austria","Konzert für Violoncello Nr.1 in Es-Dur, op. 107",Luciano Berio;Dmitri Schostakowitsch;Peter Iljitsch Tschaikowsky;,cello,Christoph von Dohnányi;Heinrich Schiff;
1989-07-30,1989,"Felsenreitschule, Salzburg, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,James Levine;Anne-Sophie Mutter;Jessye Norman;Murray Perahia;
1990-10-20,1990,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Alexander Skrjabin;,violin,Riccardo Muti;Julian Rachlin;
1990-10-21,1990,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Alexander Skrjabin;,violin,Riccardo Muti;Julian Rachlin;
1991-01-29,1991,"Large Festival Hall, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Riccardo Muti;Gidon Kremer;
1991-03-08,1991,"Suntory Hall, Tokyo, Japan","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,André Previn;Shlomo Mintz;
1991-03-09,1991,"Suntory Hall, Tokyo, Japan","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,André Previn;Shlomo Mintz;
1991-06-02,1991,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Adolf Wala;Johann Sebastian Bach;Eugène Ysaye;Bedřich Smetana;Sergej Prokofieff;Peter Iljitsch Tschaikowsky;Peter Iljitsch Tschaikowsky;Ludwig van Beethoven;,violin,Ola Rudner;Gerhart Hetzel;Julian Rachlin;Rainer Küchl;Benjamin Schmid;None;Jurij Smirnow;None;Wolfgang Sengstschmid;None;
1991-11-09,1991,"Musikverein, Vienna, Austria","Concerto Grosso V f.Violine,unsichtb.Klavier u. Orch.",Joseph Haydn;Alfred Schnittke;Robert Schumann;,violin,Christoph von Dohnányi;Gidon Kremer;
1991-11-10,1991,"Musikverein, Vienna, Austria","Concerto Grosso V f.Violine,unsichtb.Klavier u. Orch.",Joseph Haydn;Alfred Schnittke;Robert Schumann;,violin,Christoph von Dohnányi;Gidon Kremer;
1992-04-24,1992,"Musikverein, Vienna, Austria","Konzert für Flöte, Violine und Orchester",Tôru Takemitsu;Bohuslav Martinú;Antonín Dvořák;,violin,Seiji Ozawa;Wolfgang Schulz;Gerhart Hetzel;
1992-04-25,1992,"Musikverein, Vienna, Austria","Konzert für Flöte, Violine und Orchester",Tôru Takemitsu;Bohuslav Martinú;Antonín Dvořák;,violin,Seiji Ozawa;Wolfgang Schulz;Gerhart Hetzel;
1992-04-26,1992,"Musikverein, Vienna, Austria","Konzert für Flöte, Violine und Orchester",Tôru Takemitsu;Bohuslav Martinú;Antonín Dvořák;,violin,Seiji Ozawa;Gerhart Hetzel;Wolfgang Schulz;
1992-08-22,1992,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello in h-Moll, op. 104",Antonín Dvořák;Anton Bruckner;,cello,Bernard Haitink;Yo Yo Ma;
1992-08-23,1992,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello in h-Moll, op. 104",Antonín Dvořák;Anton Bruckner;,cello,Bernard Haitink;Yo Yo Ma;
1993-08-24,1993,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Lord Yehudi Menuhin;Maxim Vengerov;
1993-08-25,1993,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Lord Yehudi Menuhin;Maxim Vengerov;
1994-04-08,1994,"Brucknerhaus, Linz, Austria","Konzert für Violine Nr. 2 in g-Moll, op. 63",Karl Amadeus Hartmann;Sergej Prokofieff;Peter Iljitsch Tschaikowsky;,violin,Christoph von Dohnányi;Florin Croitoru;
1994-04-09,1994,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 2 in g-Moll, op. 63",Karl Amadeus Hartmann;Sergej Prokofieff;Peter Iljitsch Tschaikowsky;,violin,Christoph von Dohnányi;Florin Croitoru;
1994-04-10,1994,"Musikverein, Vienna, Austria","Konzert für Violine Nr. 2 in g-Moll, op. 63",Karl Amadeus Hartmann;Sergej Prokofieff;Peter Iljitsch Tschaikowsky;,violin,Christoph von Dohnányi;Florin Croitoru;
1995-01-06,1995,"Musikverein, Vienna, Austria","Konzert für Violine in E-Dur, BWV 1042, Adagio",Ludwig van Beethoven;Joseph Haydn;Johann Sebastian Bach;Wolfgang Amadeus Mozart;Franz Schubert;Ludwig van Beethoven;,violin,Riccardo Muti;Herbert Lippert;Daniel Gaede;Singverein der Gesellschaft der Musikfreunde in Wien;
